step,best_idx,offset,steer,free_ahead,speed
266,541,0.0019,0.0006,2.6630,1.0000
267,555,0.0278,0.0097,6.8768,4.0000
268,541,0.0019,0.0006,2.6882,1.0000
269,554,0.0259,0.0091,6.8678,4.0000
270,541,0.0019,0.0006,2.7136,1.0000
271,554,0.0259,0.0091,7.0989,4.0000
272,540,0.0000,0.0000,23.1348,4.0000
273,554,0.0259,0.0091,7.0430,4.0000
274,540,0.0000,0.0000,23.1189,4.0000
275,553,0.0241,0.0084,7.3071,4.0000
276,539,-0.0019,-0.0006,23.1159,4.0000
277,553,0.0241,0.0084,7.2782,4.0000
278,540,0.0000,0.0000,23.1006,4.0000
279,553,0.0241,0.0084,7.4839,4.0000
280,539,-0.0019,-0.0006,23.0574,4.0000
281,552,0.0222,0.0078,7.4508,4.0000
282,538,-0.0037,-0.0013,23.0562,4.0000
283,552,0.0222,0.0078,7.4001,4.0000
284,538,-0.0037,-0.0013,23.0210,4.0000
285,553,0.0241,0.0084,7.3607,4.0000
286,538,-0.0037,-0.0013,23.0296,4.0000
287,551,0.0204,0.0071,7.3097,4.0000
288,537,-0.0056,-0.0019,23.0190,4.0000
289,551,0.0204,0.0071,7.5728,4.0000
290,537,-0.0056,-0.0019,22.9526,4.0000
291,551,0.0204,0.0071,7.5448,4.0000
292,537,-0.0056,-0.0019,22.9101,4.0000
293,551,0.0204,0.0071,7.7495,4.0000
294,536,-0.0074,-0.0026,22.8880,4.0000
295,550,0.0185,0.0065,7.7275,4.0000
296,536,-0.0074,-0.0026,22.8513,4.0000
297,550,0.0185,0.0065,7.6740,4.0000
298,536,-0.0074,-0.0026,22.8333,4.0000
299,550,0.0185,0.0065,7.9410,4.0000
300,535,-0.0093,-0.0032,22.8135,4.0000
301,549,0.0167,0.0058,7.8319,4.0000
302,536,-0.0074,-0.0026,22.8564,4.0000
303,549,0.0167,0.0058,8.0878,4.0000
304,535,-0.0093,-0.0032,22.8128,4.0000
305,549,0.0167,0.0058,8.0315,4.0000
306,534,-0.0111,-0.0039,22.7987,4.0000
307,548,0.0148,0.0052,8.0068,4.0000
308,534,-0.0111,-0.0039,22.7321,4.0000
309,548,0.0148,0.0052,8.2151,4.0000
310,534,-0.0111,-0.0039,22.7432,4.0000
311,548,0.0148,0.0052,8.2298,4.0000
312,533,-0.0130,-0.0045,22.6227,4.0000
313,548,0.0148,0.0052,8.7968,4.0000
314,533,-0.0130,-0.0045,22.6577,4.0000
315,548,0.0148,0.0052,8.7610,4.0000
316,533,-0.0130,-0.0045,22.5722,4.0000
317,549,0.0167,0.0058,8.7192,4.0000
318,532,-0.0148,-0.0052,22.5829,4.0000
319,547,0.0130,0.0045,8.8927,4.0000
320,532,-0.0148,-0.0052,22.5793,4.0000
321,547,0.0130,0.0045,8.8932,4.0000
322,532,-0.0148,-0.0052,22.4555,4.0000
323,547,0.0130,0.0045,9.1222,4.0000
324,532,-0.0148,-0.0052,22.4261,4.0000
325,548,0.0148,0.0052,9.0871,4.0000
326,532,-0.0148,-0.0052,22.4128,4.0000
327,546,0.0111,0.0039,9.0346,4.0000
328,531,-0.0167,-0.0058,22.3972,4.0000
329,546,0.0111,0.0039,9.5313,4.0000
330,531,-0.0167,-0.0058,22.3787,4.0000
331,546,0.0111,0.0039,9.5005,4.0000
332,531,-0.0167,-0.0058,22.3250,4.0000
333,546,0.0111,0.0039,9.4645,4.0000
334,530,-0.0185,-0.0065,22.2248,4.0000
335,546,0.0111,0.0039,10.0489,4.0000
336,531,-0.0167,-0.0058,22.2064,4.0000
337,546,0.0111,0.0039,9.7049,4.0000
338,531,-0.0167,-0.0058,22.1818,4.0000
339,545,0.0093,0.0032,9.6700,4.0000
340,530,-0.0185,-0.0065,22.1152,4.0000
341,545,0.0093,0.0032,10.1621,4.0000
342,531,-0.0167,-0.0058,22.0933,4.0000
343,545,0.0093,0.0032,10.1370,4.0000
344,530,-0.0185,-0.0065,22.0892,4.0000
345,544,0.0074,0.0026,10.0900,4.0000
346,530,-0.0185,-0.0065,22.0699,4.0000
347,544,0.0074,0.0026,10.9150,4.0000
348,530,-0.0185,-0.0065,22.0457,4.0000
349,544,0.0074,0.0026,10.9064,4.0000
350,529,-0.0204,-0.0071,22.0284,4.0000
351,543,0.0056,0.0019,10.8582,4.0000
352,529,-0.0204,-0.0071,21.9943,4.0000
353,543,0.0056,0.0019,11.7361,4.0000
354,529,-0.0204,-0.0071,21.8936,4.0000
355,543,0.0056,0.0019,11.6673,4.0000
356,529,-0.0204,-0.0071,21.8678,4.0000
357,543,0.0056,0.0019,11.6429,4.0000
358,529,-0.0204,-0.0071,21.8503,4.0000
359,542,0.0037,0.0013,13.5001,4.0000
360,529,-0.0204,-0.0071,21.8212,4.0000
361,542,0.0037,0.0013,13.1831,4.0000
362,529,-0.0204,-0.0071,21.8387,4.0000
363,542,0.0037,0.0013,13.1536,4.0000
364,529,-0.0204,-0.0071,21.6944,4.0000
365,542,0.0037,0.0013,13.8840,4.0000
366,529,-0.0204,-0.0071,21.6728,4.0000
367,542,0.0037,0.0013,13.8594,4.0000
368,529,-0.0204,-0.0071,21.6677,4.0000
369,542,0.0037,0.0013,13.8106,4.0000
370,529,-0.0204,-0.0071,21.6632,4.0000
371,541,0.0019,0.0006,14.9759,4.0000
372,529,-0.0204,-0.0071,21.5630,4.0000
373,541,0.0019,0.0006,14.9128,4.0000
374,529,-0.0204,-0.0071,21.5323,4.0000
375,541,0.0019,0.0006,14.8763,4.0000
376,529,-0.0204,-0.0071,21.4886,4.0000
377,541,0.0019,0.0006,14.8473,4.0000
378,529,-0.0204,-0.0071,21.5166,4.0000
379,540,0.0000,0.0000,18.3525,4.0000
380,529,-0.0204,-0.0071,21.4726,4.0000
381,540,0.0000,0.0000,18.3063,4.0000
382,528,-0.0222,-0.0078,21.3710,4.0000
383,540,0.0000,0.0000,18.2555,4.0000
384,528,-0.0222,-0.0078,21.3650,4.0000
385,540,0.0000,0.0000,18.2139,4.0000
386,528,-0.0222,-0.0078,21.3273,4.0000
387,540,0.0000,0.0000,18.1286,4.0000
388,528,-0.0222,-0.0078,21.2621,4.0000
389,540,0.0000,0.0000,18.0638,4.0000
390,528,-0.0222,-0.0078,21.2381,4.0000
391,539,-0.0019,-0.0006,18.0312,4.0000
392,528,-0.0222,-0.0078,21.2285,4.0000
393,539,-0.0019,-0.0006,18.0140,4.0000
394,528,-0.0222,-0.0078,21.1884,4.0000
395,539,-0.0019,-0.0006,17.9104,4.0000
396,528,-0.0222,-0.0078,21.1572,4.0000
397,539,-0.0019,-0.0006,17.8504,4.0000
398,528,-0.0222,-0.0078,21.1467,4.0000
399,539,-0.0019,-0.0006,17.8434,4.0000
400,528,-0.0222,-0.0078,21.0923,4.0000
401,539,-0.0019,-0.0006,17.7899,4.0000
402,528,-0.0222,-0.0078,21.0321,4.0000
403,538,-0.0037,-0.0013,17.7623,4.0000
404,528,-0.0222,-0.0078,20.9886,4.0000
405,538,-0.0037,-0.0013,17.6881,4.0000
406,529,-0.0204,-0.0071,20.9752,4.0000
407,538,-0.0037,-0.0013,17.6187,4.0000
408,529,-0.0204,-0.0071,20.8876,4.0000
409,538,-0.0037,-0.0013,17.5828,4.0000
410,528,-0.0222,-0.0078,20.9058,4.0000
411,538,-0.0037,-0.0013,17.5687,4.0000
412,528,-0.0222,-0.0078,20.8579,4.0000
413,538,-0.0037,-0.0013,17.5162,4.0000
414,529,-0.0204,-0.0071,20.8062,4.0000
415,538,-0.0037,-0.0013,17.4795,4.0000
416,529,-0.0204,-0.0071,20.7859,4.0000
417,537,-0.0056,-0.0019,17.4463,4.0000
418,530,-0.0185,-0.0065,20.7227,4.0000
419,537,-0.0056,-0.0019,17.3786,4.0000
420,528,-0.0222,-0.0078,20.6995,4.0000
421,538,-0.0037,-0.0013,17.3623,4.0000
422,528,-0.0222,-0.0078,20.6373,4.0000
423,537,-0.0056,-0.0019,17.2993,4.0000
424,528,-0.0222,-0.0078,20.6166,4.0000
425,537,-0.0056,-0.0019,17.3120,4.0000
426,528,-0.0222,-0.0078,20.6177,4.0000
427,537,-0.0056,-0.0019,17.2994,4.0000
428,528,-0.0222,-0.0078,20.5268,4.0000
429,537,-0.0056,-0.0019,17.2128,4.0000
430,528,-0.0222,-0.0078,20.4776,4.0000
431,537,-0.0056,-0.0019,17.1484,4.0000
432,528,-0.0222,-0.0078,20.4588,4.0000
433,537,-0.0056,-0.0019,17.1141,4.0000
434,528,-0.0222,-0.0078,20.4011,4.0000
435,536,-0.0074,-0.0026,17.1332,4.0000
436,528,-0.0222,-0.0078,20.3624,4.0000
437,537,-0.0056,-0.0019,17.0329,4.0000
438,528,-0.0222,-0.0078,20.3159,4.0000
439,537,-0.0056,-0.0019,16.9607,4.0000
440,528,-0.0222,-0.0078,20.3063,4.0000
441,537,-0.0056,-0.0019,16.9150,4.0000
