"Step","dqn - train/reward_mean","dqn - train/reward_mean__MIN","dqn - train/reward_mean__MAX"
"342","-82.58111235571909","-82.58111235571909","-82.58111235571909"
"343","-82.5801747803003","-82.5801747803003","-82.5801747803003"
"344","-82.55007348288636","-82.55007348288636","-82.55007348288636"
"345","-82.67727292700991","-82.67727292700991","-82.67727292700991"
"346","-82.67837946215033","-82.67837946215033","-82.67837946215033"
"347","-82.69609293736838","-82.69609293736838","-82.69609293736838"
"348","-82.68513971621024","-82.68513971621024","-82.68513971621024"
"349","-82.69285012140725","-82.69285012140725","-82.69285012140725"
"350","-82.30269870343967","-82.30269870343967","-82.30269870343967"
"351","-81.70705705624422","-81.70705705624422","-81.70705705624422"
"352","-81.67054280646495","-81.67054280646495","-81.67054280646495"
"353","-82.11458392131026","-82.11458392131026","-82.11458392131026"
"354","-81.75677241774655","-81.75677241774655","-81.75677241774655"
"355","-81.77007331105328","-81.77007331105328","-81.77007331105328"
"356","-81.5761600996778","-81.5761600996778","-81.5761600996778"
"357","-81.53808865806931","-81.53808865806931","-81.53808865806931"
"358","-81.61925732174801","-81.61925732174801","-81.61925732174801"
"359","-81.64171248780477","-81.64171248780477","-81.64171248780477"
"360","-81.89515433653636","-81.89515433653636","-81.89515433653636"
"361","-81.66913657708007","-81.66913657708007","-81.66913657708007"
"362","-81.90379101006226","-81.90379101006226","-81.90379101006226"
"363","-82.13300274891691","-82.13300274891691","-82.13300274891691"
"364","-82.23363997306122","-82.23363997306122","-82.23363997306122"
"365","-81.89823039592622","-81.89823039592622","-81.89823039592622"
"366","-81.60618461043953","-81.60618461043953","-81.60618461043953"
"367","-82.00233720089687","-82.00233720089687","-82.00233720089687"
"368","-81.97855901292904","-81.97855901292904","-81.97855901292904"
"369","-81.77830386496062","-81.77830386496062","-81.77830386496062"
"370","-81.41206151346123","-81.41206151346123","-81.41206151346123"
"371","-81.78765010039234","-81.78765010039234","-81.78765010039234"
"372","-81.58745507783169","-81.58745507783169","-81.58745507783169"
"373","-82.18956157355017","-82.18956157355017","-82.18956157355017"
"374","-82.28776563268534","-82.28776563268534","-82.28776563268534"
"375","-82.35793001870071","-82.35793001870071","-82.35793001870071"
"376","-82.59741674023127","-82.59741674023127","-82.59741674023127"
"377","-82.96668151275168","-82.96668151275168","-82.96668151275168"
"378","-82.86770692571444","-82.86770692571444","-82.86770692571444"
"379","-83.22802619992203","-83.22802619992203","-83.22802619992203"
"380","-83.20295361999801","-83.20295361999801","-83.20295361999801"
"381","-83.1649938382479","-83.1649938382479","-83.1649938382479"
