Frame,Sub Frame,"Position - Limo_02",,,"Position - Limo_04",,,"Rotation (Helical) - Limo_02",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","TX","TY","TZ","RX","RY","RZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","°","°","°","°","°","°"
177,0,"-824.615","-864.966","145.688","87.4532","30.0956","141.307","1.47602","-1.67308","183.568","2.85961","-2.05179","183.339"
178,0,"-824.631","-864.99","145.72","87.4598","30.1076","141.326","1.45847","-1.62747","183.563","2.87355","-2.03345","183.325"
179,0,"-824.618","-864.976","145.723","87.4283","29.8402","141.445","1.45865","-1.63361","183.57","2.80109","-1.72639","183.257"
180,0,"-824.603","-864.953","145.726","87.4643","30.0563","141.313","1.43906","-1.61952","183.576","2.8562","-2.02205","183.326"
181,0,"-824.599","-864.936","145.742","87.4778","30.1253","141.312","1.3928","-1.55393","183.585","2.85906","-2.05508","183.358"
182,0,"-824.587","-864.917","145.77","87.4131","29.9023","141.41","1.36857","-1.50466","183.609","2.80779","-1.81605","183.283"
183,0,"-824.583","-864.9","145.775","87.4617","30.1754","141.325","1.32869","-1.43146","183.627","2.87179","-2.06944","183.345"
184,0,"-824.589","-864.894","145.799","87.4294","30.1772","141.342","1.29874","-1.37111","183.637","2.86725","-2.07804","183.353"
185,0,"-824.577","-864.881","145.808","87.3814","29.9201","141.453","1.30152","-1.34278","183.652","2.80578","-1.76004","183.249"
186,0,"-824.555","-864.857","145.81","87.3728","30.1323","141.374","1.28112","-1.3582","183.66","2.84221","-1.99867","183.326"
187,0,"-824.552","-864.841","145.835","87.3988","30.0919","141.345","1.27028","-1.34307","183.68","2.84933","-2.03584","183.347"
188,0,"-824.525","-864.816","145.849","87.3001","30.1448","141.411","1.26444","-1.30966","183.688","2.85263","-1.98336","183.326"
189,0,"-824.517","-864.829","145.834","87.2507","29.9303","141.513","1.25083","-1.31913","183.686","2.78154","-1.72068","183.245"
190,0,"-824.507","-864.82","145.839","87.2412","30.0283","141.502","1.2499","-1.3043","183.681","2.82403","-1.75112","183.242"
191,0,"-824.514","-864.809","145.862","87.2105","30.0854","141.529","1.24056","-1.30023","183.694","2.82457","-1.77231","183.257"
192,0,"-824.522","-864.801","145.834","87.1793","30.0721","141.57","1.2255","-1.24765","183.691","2.80279","-1.73905","183.241"
193,0,"-824.543","-864.806","145.845","87.1865","30.254","141.452","1.21633","-1.22967","183.696","2.86382","-1.97537","183.295"
194,0,"-824.557","-864.806","145.845","87.1343","30.0676","141.562","1.23649","-1.27574","183.693","2.81766","-1.72897","183.213"
195,0,"-824.592","-864.81","145.857","87.0958","30.102","141.606","1.21956","-1.18161","183.703","2.80977","-1.72166","183.234"
196,0,"-824.58","-864.8","145.852","87.0285","30.0789","141.593","1.22549","-1.26347","183.699","2.82365","-1.75583","183.225"
197,0,"-824.597","-864.813","145.839","87.3197","30.221","141.355","1.2218","-1.22062","183.695","2.88657","-2.0878","183.327"
198,0,"-824.576","-864.789","145.852","87.5117","30.0616","141.191","1.217","-1.26669","183.698","2.92281","-2.18626","183.328"
199,0,"-824.591","-864.816","145.843","87.572","30.0752","141.163","1.22622","-1.22021","183.699","2.94598","-2.29664","183.353"
200,0,"-824.568","-864.825","145.824","87.5848","29.9535","141.161","1.22506","-1.23011","183.683","2.93371","-2.17742","183.317"
201,0,"-824.546","-864.854","145.82","87.5978","29.889","141.192","1.21068","-1.17192","183.671","2.89681","-2.08904","183.317"
202,0,"-824.513","-864.878","145.815","87.6257","30.0936","141.1","1.20877","-1.14349","183.653","2.95076","-2.33303","183.361"
203,0,"-824.52","-864.922","145.809","87.6438","30.106","141.105","1.19856","-1.0503","183.637","2.96128","-2.31929","183.356"
204,0,"-824.473","-864.927","145.802","87.5918","29.8361","141.227","1.18758","-0.997921","183.625","2.88114","-2.02039","183.302"
205,0,"-824.467","-864.989","145.774","87.6205","30.0001","141.141","1.19944","-0.925751","183.6","2.95272","-2.24634","183.315"
206,0,"-824.451","-864.977","145.788","87.6472","30.0112","141.098","1.14853","-0.895838","183.6","2.94334","-2.27767","183.335"
207,0,"-824.451","-865.04","145.765","87.6073","29.8624","141.253","1.17448","-0.844777","183.577","2.86842","-2.02552","183.301"
