"Step","sac - train/reward_mean","sac - train/reward_mean__MIN","sac - train/reward_mean__MAX"
"302","7.587220484261698","7.587220484261698","7.587220484261698"
"303","7.736323264750017","7.736323264750017","7.736323264750017"
"304","8.170118992578564","8.170118992578564","8.170118992578564"
"305","8.446692307374896","8.446692307374896","8.446692307374896"
"306","8.246329099203436","8.246329099203436","8.246329099203436"
"307","8.438480593905702","8.438480593905702","8.438480593905702"
"308","8.000941275974824","8.000941275974824","8.000941275974824"
"309","8.336098404164282","8.336098404164282","8.336098404164282"
"310","8.541719396571484","8.541719396571484","8.541719396571484"
"311","8.72773071271868","8.72773071271868","8.72773071271868"
"312","9.218298027674086","9.218298027674086","9.218298027674086"
"313","9.202449896534386","9.202449896534386","9.202449896534386"
"314","9.171272212710178","9.171272212710178","9.171272212710178"
"315","9.256881367443716","9.256881367443716","9.256881367443716"
"316","8.876064422446657","8.876064422446657","8.876064422446657"
"317","8.252659762460176","8.252659762460176","8.252659762460176"
"318","7.690428884612052","7.690428884612052","7.690428884612052"
"319","7.394781943788771","7.394781943788771","7.394781943788771"
"320","6.89429337330494","6.89429337330494","6.89429337330494"
"321","6.09827542183059","6.09827542183059","6.09827542183059"
"322","5.392611102669257","5.392611102669257","5.392611102669257"
"323","4.83070727380888","4.83070727380888","4.83070727380888"
"324","4.330040727733872","4.330040727733872","4.330040727733872"
"325","3.934079767374792","3.934079767374792","3.934079767374792"
"326","3.4670609584983367","3.4670609584983367","3.4670609584983367"
"327","3.5078569082218793","3.5078569082218793","3.5078569082218793"
"328","3.168716176223029","3.168716176223029","3.168716176223029"
"329","3.2609605262577723","3.2609605262577723","3.2609605262577723"
"330","3.2486758577296904","3.2486758577296904","3.2486758577296904"
"331","3.2594753895269286","3.2594753895269286","3.2594753895269286"
"332","4.1236930561345115","4.1236930561345115","4.1236930561345115"
"333","4.346909293660724","4.346909293660724","4.346909293660724"
"334","3.8550882806046913","3.8550882806046913","3.8550882806046913"
"335","3.976783126398227","3.976783126398227","3.976783126398227"
"336","3.715128800964162","3.715128800964162","3.715128800964162"
"337","3.498106202595959","3.498106202595959","3.498106202595959"
"338","3.3197596841016686","3.3197596841016686","3.3197596841016686"
"339","3.4865491207167407","3.4865491207167407","3.4865491207167407"
"340","3.7154973053317417","3.7154973053317417","3.7154973053317417"
"341","3.786258735862143","3.786258735862143","3.786258735862143"
"342","3.780107386634904","3.780107386634904","3.780107386634904"
"343","3.8773934409033837","3.8773934409033837","3.8773934409033837"
"344","4.152780105118204","4.152780105118204","4.152780105118204"
"345","4.285466788301332","4.285466788301332","4.285466788301332"
"346","4.3817454231266355","4.3817454231266355","4.3817454231266355"
"347","4.495108139020527","4.495108139020527","4.495108139020527"
"348","4.358509424401113","4.358509424401113","4.358509424401113"
"349","4.630176663608422","4.630176663608422","4.630176663608422"
"350","4.693162100963914","4.693162100963914","4.693162100963914"
"351","4.9453628914217465","4.9453628914217465","4.9453628914217465"
"352","5.1824099608528424","5.1824099608528424","5.1824099608528424"
"353","5.443221737123045","5.443221737123045","5.443221737123045"
