s_m,x_m,y_m,heading_rad,curvature_inv_m,width_m,left_width_m,right_width_m
11.549992658,1.909986238,5.019619419,2.960068220,0.755075609,1.000000000,0.500000000,0.500000000
11.599990866,1.860647901,5.027715669,2.997522254,0.743042969,1.000000000,0.500000000,0.500000000
11.649989321,1.811042635,5.033973715,3.035102969,0.760143814,1.000000000,0.500000000,0.500000000
11.699988004,1.761235169,5.038342299,3.073023868,0.756647656,1.000000000,0.500000000,0.500000000
11.749986491,1.711298300,5.040823802,3.110372255,0.737247792,1.000000000,0.500000000,0.500000000
11.799984666,1.661304214,5.041463197,-3.135919352,0.738460990,1.000000000,0.500000000,0.500000000
11.849983166,1.611320275,5.040256590,-3.098634096,0.752907067,1.000000000,0.500000000,0.500000000
11.899982019,1.561416814,5.037169537,-3.060736413,0.762952716,1.000000000,0.500000000,0.500000000
11.949980667,1.511667606,5.032181445,-3.023005078,0.746257419,1.000000000,0.500000000,0.500000000
11.999978740,1.462139678,5.025341002,-2.985587128,0.750424462,1.000000000,0.500000000,0.500000000
12.049976672,1.412903356,5.016647450,-2.947954563,0.754845820,1.000000000,0.500000000,0.500000000
12.099974845,1.364029908,5.006102152,-2.910099181,0.759329432,1.000000000,0.500000000,0.500000000
12.149973583,1.315591417,4.993709152,-2.871699735,0.776597491,1.000000000,0.500000000,0.500000000
12.199972570,1.267670320,4.979444960,-2.832909072,0.774972630,1.000000000,0.500000000,0.500000000
12.249971196,1.220338140,4.963335109,-2.794307359,0.769045149,1.000000000,0.500000000,0.500000000
12.299969283,1.173660779,4.945417727,-2.755793068,0.771487212,1.000000000,0.500000000,0.500000000
12.349967026,1.127709451,4.925713670,-2.717181943,0.772929285,1.000000000,0.500000000,0.500000000
12.399964575,1.082553926,4.904248968,-2.678528711,0.773177951,1.000000000,0.500000000,0.500000000
12.449962031,1.038261827,4.881055098,-2.639897478,0.772053002,1.000000000,0.500000000,0.500000000
12.499959454,0.994897887,4.856169138,-2.601360935,0.769392336,1.000000000,0.500000000,0.500000000
12.549956873,0.952523162,4.829633793,-2.562999329,0.765056819,1.000000000,0.500000000,0.500000000
12.599954302,0.911194242,4.801497280,-2.524899182,0.758934830,1.000000000,0.500000000,0.500000000
12.649951766,0.870962489,4.771813067,-2.487151805,0.750946221,1.000000000,0.500000000,0.500000000
12.699949330,0.831873325,4.740639462,-2.449851615,0.741045399,1.000000000,0.500000000,0.500000000
12.749947140,0.793965606,4.708039066,-2.413094338,0.729223320,1.000000000,0.500000000,0.500000000
12.799945474,0.757271104,4.674078106,-2.376975128,0.715508209,1.000000000,0.500000000,0.500000000
12.849944793,0.721814127,4.638825662,-2.340944447,0.725668893,1.000000000,0.500000000,0.500000000
12.899944519,0.687659070,4.602309849,-2.305335380,0.698644439,1.000000000,0.500000000,0.500000000
12.949943367,0.654800793,4.564624063,-2.271105953,0.670494088,1.000000000,0.500000000,0.500000000
12.999941536,0.623224598,4.525858603,-2.238085971,0.650279015,1.000000000,0.500000000,0.500000000
13.049940119,0.592925053,4.486086806,-2.205708858,0.644774374,1.000000000,0.500000000,0.500000000
13.099939992,0.563922510,4.445357949,-2.173155049,0.657346128,1.000000000,0.500000000,0.500000000
13.149939432,0.536274330,4.403698351,-2.141988713,0.589272546,1.000000000,0.500000000,0.500000000
13.199938203,0.509865790,4.361242890,-2.112652003,0.584160006,1.000000000,0.500000000,0.500000000
13.249938237,0.484707772,4.318033197,-2.082935685,0.604466961,1.000000000,0.500000000,0.500000000
13.299937931,0.460867195,4.274083268,-2.055118027,0.508203712,1.000000000,0.500000000,0.500000000
13.349937789,0.438150921,4.229541639,-2.028734050,0.547123019,1.000000000,0.500000000,0.500000000
13.399938223,0.416661277,4.184394784,-2.003420599,0.465389140,1.000000000,0.500000000,0.500000000
13.449938208,0.396228110,4.138760540,-1.979760381,0.480987665,1.000000000,0.500000000,0.500000000
13.499938811,0.376898015,4.092647551,-1.956977885,0.430289787,1.000000000,0.500000000,0.500000000
13.549939117,0.358564553,4.046129655,-1.935171639,0.441930768,1.000000000,0.500000000,0.500000000
13.599939887,0.341263238,3.999217593,-1.914463374,0.386376803,1.000000000,0.500000000,0.500000000
13.649940574,0.324871437,3.951980134,-1.894186547,0.424668207,1.000000000,0.500000000,0.500000000
13.699941530,0.309486220,3.904405027,-1.874890083,0.347165084,1.000000000,0.500000000,0.500000000
13.749942556,0.294929108,3.856569966,-1.856161641,0.401947023,1.000000000,0.500000000,0.500000000
13.799943529,0.281336278,3.808452067,-1.837599744,0.340502908,1.000000000,0.500000000,0.500000000
13.849944528,0.268564613,3.760109699,-1.820567017,0.340784468,1.000000000,0.500000000,0.500000000
13.899945532,0.256618503,3.711556729,-1.802948482,0.363932516,1.000000000,0.500000000,0.500000000
13.949946693,0.245557819,3.662794271,-1.786125827,0.308951357,1.000000000,0.500000000,0.500000000
13.999947816,0.235251719,3.613866809,-1.770110135,0.331654983,1.000000000,0.500000000,0.500000000
14.049948913,0.225758383,3.564775198,-1.753524794,0.331735711,1.000000000,0.500000000,0.500000000
14.099950107,0.217080599,3.515532782,-1.737866490,0.294575728,1.000000000,0.500000000,0.500000000
